country,region,source,segment,type,abatement,savings (kt),cost (USD/MBtu)
Canada,North America,Unconventional gas,Upstream,Gas,Continuous LDAR,156.89,1.05
Equatorial Guinea,Africa,Offshore oil,Upstream,Oil,Other,0.32,1.06
Gabon,Africa,Onshore conventional oil,Upstream,Oil,Vapour recovery units,17.54,1.07
Russia,Russia & Caspian,Offshore oil,Upstream,Oil,Associated gas utilisation,47.06,1.07
Tanzania,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,0.4,1.1
Other,Other,Onshore conventional oil,Upstream,Oil,Other,1.01,1.1
New Zealand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,0.01,1.12
Democratic Republic of Congo,Africa,Offshore oil,Upstream,Oil,Replace with electric motor,0.18,1.12
Algeria,Africa,Onshore conventional oil,Upstream,Oil,Vapour recovery units,344.04,1.12
Bangladesh,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,2.73,1.12
Cuba,Central and South America,Downstream gas,Downstream,Gas,Replace compressor seal or rod,0.24,1.13
China,Asia Pacific,Downstream gas,Downstream,Gas,Other,77.48,1.15
United States,North America,Downstream gas,Downstream,Gas,Annual LDAR,34.32,1.15
United States,North America,Downstream oil,Downstream,Oil,Annual LDAR,1.02,1.15
Canada,North America,Onshore conventional gas,Upstream,Gas,Vapour recovery units,12.88,1.16
France,Europe,Onshore conventional oil,Upstream,Oil,Other,0.17,1.16
United States,North America,Unconventional gas,Upstream,Gas,Quarterly LDAR,656.07,1.17
United States,North America,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,33.65,1.17
United States,North America,Unconventional oil,Upstream,Oil,Quarterly LDAR,261.72,1.17
United States,North America,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,98.78,1.17
Mexico,North America,Downstream oil,Downstream,Oil,Replace with electric motor,3.78,1.18
Peru,Central and South America,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,1.7,1.18
Libya,Africa,Offshore oil,Upstream,Oil,Vapour recovery units,4.2,1.18
Libya,Africa,Onshore conventional oil,Upstream,Oil,Vapour recovery units,390.72,1.18
Gabon,Africa,Onshore conventional oil,Upstream,Oil,Replace pumps,15.63,1.19
Thailand,Asia Pacific,Downstream gas,Downstream,Gas,Replace compressor seal or rod,17.42,1.19
Syria,Middle East,Onshore conventional oil,Upstream,Oil,Replace pumps,48.05,1.2
India,Asia Pacific,Downstream gas,Downstream,Gas,Other,41.49,1.2
Chad,Africa,Onshore conventional oil,Upstream,Oil,Vapour recovery units,7.1,1.22
Australia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.28,1.22
Norway,Europe,Offshore gas,Upstream,Gas,Continuous LDAR,0.9,1.22
Norway,Europe,Offshore oil,Upstream,Oil,Continuous LDAR,0.57,1.22
Saudi Arabia,Middle East,Downstream gas,Downstream,Gas,Replace compressor seal or rod,8.41,1.24
Romania,Europe,Onshore conventional oil,Upstream,Oil,Other,2.62,1.25
Trinidad and Tobago,Central and South America,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,0.09,1.26
United States,North America,Downstream oil,Downstream,Oil,Biannual LDAR,3.06,1.26
United States,North America,Downstream oil,Downstream,Oil,Replace with electric motor,24.03,1.26
United States,North America,Downstream gas,Downstream,Gas,Biannual LDAR,102.97,1.26
Other,Other,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,0.05,1.26
Canada,North America,Downstream oil,Downstream,Oil,Replace with electric motor,2.6,1.26
Algeria,Africa,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,12.81,1.27
Algeria,Africa,Unconventional gas,Upstream,Gas,Replace compressor seal or rod,0.14,1.27
Libya,Africa,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,0.47,1.27
Other countries in Europe,Europe,Downstream oil,Downstream,Oil,Associated gas utilisation,0.11,1.28
United Kingdom,Europe,Onshore conventional oil,Upstream,Oil,Other,0.11,1.28
Sudan,Africa,Onshore conventional oil,Upstream,Oil,Vapour recovery units,5.16,1.28
Romania,Europe,Onshore conventional oil,Upstream,Oil,Vapour recovery units,9.73,1.3
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,7.6,1.3
Thailand,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,1.87,1.3
Ghana,Africa,Onshore conventional oil,Upstream,Oil,Vapour recovery units,0.93,1.3
Ghana,Africa,Offshore oil,Upstream,Oil,Vapour recovery units,4.52,1.3
Brunei,Asia Pacific,Downstream gas,Downstream,Gas,Replace compressor seal or rod,0.45,1.3
Australia,Asia Pacific,Downstream oil,Downstream,Oil,Associated gas utilisation,0.06,1.31
Ecuador,Central and South America,Onshore conventional oil,Upstream,Oil,Vapour recovery units,63.02,1.31
Oman,Middle East,Downstream gas,Downstream,Gas,Replace compressor seal or rod,5.76,1.32
Other countries in Southeast Asia,Asia Pacific,Downstream gas,Downstream,Gas,Replace compressor seal or rod,4.64,1.33
Australia,Asia Pacific,Offshore oil,Upstream,Oil,Quarterly LDAR,2.07,1.33
Australia,Asia Pacific,Offshore gas,Upstream,Gas,Quarterly LDAR,15.23,1.33
Viet Nam,Asia Pacific,Downstream gas,Downstream,Gas,Replace compressor seal or rod,1.44,1.33
Gabon,Africa,Downstream gas,Downstream,Gas,Replace compressor seal or rod,0.25,1.34
United States,North America,Onshore conventional gas,Upstream,Gas,Vapour recovery units,13.44,1.34
Gabon,Africa,Onshore conventional oil,Upstream,Oil,Vapour recovery units,15.9,1.35
Gabon,Africa,Offshore oil,Upstream,Oil,Vapour recovery units,7.98,1.35
Colombia,Central and South America,Onshore conventional oil,Upstream,Oil,Vapour recovery units,5.75,1.36
Colombia,Central and South America,Onshore conventional oil,Upstream,Oil,Vapour recovery units,48.36,1.36
Yemen,Middle East,Onshore conventional oil,Upstream,Oil,Replace pumps,23.62,1.36
Venezuela,Central and South America,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,5.38,1.36
Other countries in Europe,Europe,Offshore gas,Upstream,Gas,Quarterly LDAR,0.42,1.37
Mexico,North America,Offshore oil,Upstream,Oil,Vapour recovery units,88.91,1.37
Mexico,North America,Offshore gas,Upstream,Gas,Other,0.19,1.38
Mexico,North America,Offshore oil,Upstream,Oil,Other,2.31,1.39
Brazil,Central and South America,Downstream gas,Downstream,Gas,Replace compressor seal or rod,8.37,1.4
Bahrain,Middle East,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,1.47,1.41
Jordan,Middle East,Downstream gas,Downstream,Gas,Replace compressor seal or rod,0.62,1.42
Pakistan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,17.59,1.43
United Kingdom,Europe,Onshore conventional oil,Upstream,Oil,Vapour recovery units,0.39,1.44
Guyana,Central and South America,Offshore oil,Upstream,Oil,Vapour recovery units,0.17,1.44
Argentina,Central and South America,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,1.38,1.45
Argentina,Central and South America,Unconventional gas,Upstream,Gas,Replace compressor seal or rod,7.23,1.45
Mexico,North America,Offshore gas,Upstream,Gas,Vapour recovery units,6.49,1.45
United Arab Emirates,Middle East,Downstream gas,Downstream,Gas,Replace compressor seal or rod,10.62,1.46
Russia,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,45.17,1.47
Qatar,Middle East,Downstream gas,Downstream,Gas,Replace compressor seal or rod,6.36,1.47
Russia,Russia & Caspian,Unconventional gas,Upstream,Gas,Replace compressor seal or rod,3.58,1.47
Indonesia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,58.17,1.48
Denmark,Europe,Offshore oil,Upstream,Oil,Quarterly LDAR,0.42,1.5
Denmark,Europe,Offshore gas,Upstream,Gas,Quarterly LDAR,0.11,1.5
United States,North America,Unconventional gas,Upstream,Gas,Replace pumps,105.01,1.5
United States,North America,Onshore conventional gas,Upstream,Gas,Replace pumps,6.01,1.5
Congo,Africa,Onshore conventional oil,Upstream,Oil,Replace pumps,5.64,1.51
Equatorial Guinea,Africa,Offshore oil,Upstream,Oil,Associated gas utilisation,17.54,1.52
Other,Other,Onshore conventional oil,Upstream,Oil,Vapour recovery units,2.03,1.55
Sudan,Africa,Onshore conventional oil,Upstream,Oil,Vapour recovery units,3.66,1.56
Uzbekistan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Vapour recovery units,14.11,1.56
South Sudan,Africa,Onshore conventional oil,Upstream,Oil,Vapour recovery units,11.4,1.6
Ecuador,Central and South America,Onshore conventional oil,Upstream,Oil,Vapour recovery units,36.62,1.6
Romania,Europe,Onshore conventional oil,Upstream,Oil,Vapour recovery units,1.47,1.64
Romania,Europe,Offshore oil,Upstream,Oil,Vapour recovery units,0.11,1.64
Tunisia,Africa,Downstream oil,Downstream,Oil,Associated gas utilisation,0.03,1.65
Morocco,Africa,Downstream oil,Downstream,Oil,Associated gas utilisation,0.08,1.65
Egypt,Africa,Downstream oil,Downstream,Oil,Associated gas utilisation,0.13,1.65
Libya,Africa,Downstream oil,Downstream,Oil,Associated gas utilisation,0.09,1.65
Algeria,Africa,Downstream oil,Downstream,Oil,Associated gas utilisation,0.12,1.65
Mexico,North America,Unconventional gas,Upstream,Gas,Vapour recovery units,0.24,1.66
United States,North America,Onshore conventional gas,Upstream,Gas,Continuous LDAR,35.89,1.66
United States,North America,Unconventional gas,Upstream,Gas,Continuous LDAR,699.8,1.66
United States,North America,Onshore conventional oil,Upstream,Oil,Continuous LDAR,105.37,1.66
United States,North America,Unconventional oil,Upstream,Oil,Continuous LDAR,279.17,1.66
Nigeria,Africa,Onshore conventional oil,Upstream,Oil,Vapour recovery units,122.6,1.7
Bolivia,Central and South America,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,1.32,1.72
Viet Nam,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,0.16,1.73
Viet Nam,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,0.53,1.73
Norway,Europe,Downstream oil,Downstream,Oil,Associated gas utilisation,0.01,1.75
Pakistan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,11.85,1.75
Ukraine,Europe,Downstream oil,Downstream,Oil,Other,2.23,1.75
United Kingdom,Europe,Onshore conventional oil,Upstream,Oil,Vapour recovery units,0.55,1.76
United Kingdom,Europe,Offshore oil,Upstream,Oil,Vapour recovery units,3.46,1.76
Angola,Africa,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.62,1.77
Indonesia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,47.64,1.8
Indonesia,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,3.96,1.8
Mexico,North America,Offshore gas,Upstream,Gas,Associated gas utilisation,10.22,1.8
Mexico,North America,Onshore conventional oil,Upstream,Oil,Replace with electric motor,31.35,1.8
Mexico,North America,Offshore oil,Upstream,Oil,Associated gas utilisation,125.69,1.81
Norway,Europe,Offshore oil,Upstream,Oil,Associated gas utilisation,0.76,1.81
Other,Other,Onshore conventional oil,Upstream,Oil,Vapour recovery units,2.86,1.84
United Arab Emirates,Middle East,Onshore conventional oil,Upstream,Oil,Replace pumps,125.09,1.84
South Africa,Africa,Downstream oil,Downstream,Oil,Other,1.79,1.85
Uzbekistan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Vapour recovery units,19.52,1.85
Angola,Africa,Onshore conventional oil,Upstream,Oil,Other,0.91,1.87
Ecuador,Central and South America,Downstream gas,Downstream,Gas,Replace compressor seal or rod,0.15,1.88
United States,North America,Offshore gas,Upstream,Gas,Other,0.34,1.88
United States,North America,Offshore oil,Upstream,Oil,Vapour recovery units,74.82,1.89
United States,North America,Offshore oil,Upstream,Oil,Other,1.95,1.91
Democratic Republic of Congo,Africa,Onshore conventional oil,Upstream,Oil,Replace pumps,1.31,1.92
Other,Other,Onshore conventional oil,Upstream,Oil,Replace pumps,3.34,1.93
United States,North America,Offshore gas,Upstream,Gas,Vapour recovery units,11.89,1.94
Canada,North America,Unconventional gas,Upstream,Gas,Vapour recovery units,94.18,1.94
Tanzania,Africa,Downstream gas,Downstream,Gas,Vapour recovery units,0.01,1.96
Russia,Russia & Caspian,Downstream gas,Downstream,Gas,Vapour recovery units,3.59,1.98
Cameroon,Africa,Offshore oil,Upstream,Oil,Vapour recovery units,0.57,1.98
Nigeria,Africa,Onshore conventional oil,Upstream,Oil,Vapour recovery units,48.88,2.01
Nigeria,Africa,Offshore oil,Upstream,Oil,Vapour recovery units,24.48,2.01
Oman,Middle East,Downstream gas,Downstream,Gas,Other,6.71,2.03
Qatar,Middle East,Downstream gas,Downstream,Gas,Other,7.41,2.03
Syria,Middle East,Downstream gas,Downstream,Gas,Other,5.7,2.03
Saudi Arabia,Middle East,Downstream gas,Downstream,Gas,Other,9.79,2.03
United Arab Emirates,Middle East,Downstream gas,Downstream,Gas,Other,12.37,2.03
Bahrain,Middle East,Downstream gas,Downstream,Gas,Other,2.9,2.03
Iran,Middle East,Downstream gas,Downstream,Gas,Other,65.65,2.03
Iraq,Middle East,Downstream gas,Downstream,Gas,Other,3.23,2.03
Jordan,Middle East,Downstream gas,Downstream,Gas,Other,0.73,2.03
Kuwait,Middle East,Downstream gas,Downstream,Gas,Other,4.1,2.03
Uzbekistan,Russia & Caspian,Downstream gas,Downstream,Gas,Other,26.15,2.03
Mexico,North America,Offshore gas,Upstream,Gas,Replace with electric motor,0.52,2.04
Mexico,North America,Offshore oil,Upstream,Oil,Replace with electric motor,6.43,2.05
Egypt,Africa,Downstream gas,Downstream,Gas,Replace compressor seal or rod,13.48,2.06
Indonesia,Asia Pacific,Downstream gas,Downstream,Gas,Replace compressor seal or rod,13.98,2.06
Mexico,North America,Onshore conventional gas,Upstream,Gas,Replace with electric motor,10.47,2.07
Mexico,North America,Unconventional gas,Upstream,Gas,Replace with electric motor,0.24,2.08
Morocco,Africa,Onshore conventional oil,Upstream,Oil,Vapour recovery units,0.01,2.09
Nigeria,Africa,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,4.6,2.12
United States,North America,Onshore conventional oil,Upstream,Oil,Replace pumps,69.53,2.14
United States,North America,Unconventional oil,Upstream,Oil,Replace pumps,183.18,2.14
Other,Other,Downstream gas,Downstream,Gas,Replace compressor seal or rod,7.01,2.15
United States,North America,Unconventional gas,Upstream,Gas,Vapour recovery units,593.5,2.15
Pakistan,Asia Pacific,Unconventional gas,Upstream,Gas,Replace compressor seal or rod,0.23,2.16
Pakistan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,4.62,2.16
Tunisia,Africa,Downstream gas,Downstream,Gas,Replace compressor seal or rod,1.9,2.18
Mexico,North America,Downstream gas,Downstream,Gas,Replace with electric motor,12.93,2.22
Mexico,North America,Unconventional gas,Upstream,Gas,Install plunger,0.02,2.23
Mexico,North America,Onshore conventional gas,Upstream,Gas,Install plunger,0.97,2.23
Democratic Republic of Congo,Africa,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.27,2.23
Iraq,Middle East,Downstream gas,Downstream,Gas,Replace compressor seal or rod,2.77,2.26
Iran,Middle East,Downstream gas,Downstream,Gas,Replace compressor seal or rod,56.36,2.26
Syria,Middle East,Downstream gas,Downstream,Gas,Replace compressor seal or rod,4.89,2.26
Angola,Africa,Onshore conventional oil,Upstream,Oil,Replace pumps,3,2.28
Canada,North America,Onshore conventional oil,Upstream,Oil,Replace with electric motor,170.47,2.32
Canada,North America,Unconventional oil,Upstream,Oil,Replace with electric motor,23.72,2.34
Cuba,Central and South America,Downstream oil,Downstream,Oil,Associated gas utilisation,0.04,2.36
Argentina,Central and South America,Downstream oil,Downstream,Oil,Associated gas utilisation,0.18,2.36
Bolivia,Central and South America,Downstream oil,Downstream,Oil,Associated gas utilisation,0.08,2.36
Ecuador,Central and South America,Downstream oil,Downstream,Oil,Associated gas utilisation,1.12,2.36
Peru,Central and South America,Downstream oil,Downstream,Oil,Associated gas utilisation,0.06,2.36
Other,Other,Downstream oil,Downstream,Oil,Associated gas utilisation,0.19,2.36
Uruguay,Central and South America,Downstream oil,Downstream,Oil,Associated gas utilisation,0.03,2.36
Venezuela,Central and South America,Downstream oil,Downstream,Oil,Associated gas utilisation,0.16,2.36
Canada,North America,Unconventional gas,Upstream,Gas,Replace with electric motor,95.93,2.41
Canada,North America,Onshore conventional gas,Upstream,Gas,Replace with electric motor,33.38,2.41
Norway,Europe,Offshore oil,Upstream,Oil,Vapour recovery units,2.42,2.42
Turkmenistan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Vapour recovery units,62.61,2.42
Peru,Central and South America,Downstream gas,Downstream,Gas,Replace compressor seal or rod,1.76,2.44
Cuba,Central and South America,Onshore conventional oil,Upstream,Oil,Improve flaring,0.03,2.47
Cuba,Central and South America,Offshore oil,Upstream,Oil,Improve flaring,0.01,2.47
Bangladesh,Asia Pacific,Downstream gas,Downstream,Gas,Other,13.29,2.49
Pakistan,Asia Pacific,Downstream gas,Downstream,Gas,Other,24.43,2.49
Russia,Russia & Caspian,Downstream gas,Downstream,Gas,Replace compressor seal or rod,98.7,2.5
Indonesia,Asia Pacific,Downstream gas,Downstream,Gas,Other,16.28,2.5
Democratic Republic of Congo,Africa,Onshore conventional oil,Upstream,Oil,Other,0.4,2.51
Bangladesh,Asia Pacific,Downstream gas,Downstream,Gas,Replace compressor seal or rod,11.41,2.52
Kazakhstan,Russia & Caspian,Offshore oil,Upstream,Oil,Improve flaring,3.35,2.52
Kazakhstan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Improve flaring,10.81,2.52
Australia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Other,0.41,2.53
Canada,North America,Downstream oil,Downstream,Oil,Quarterly LDAR,0.52,2.54
Canada,North America,Downstream gas,Downstream,Gas,Quarterly LDAR,19.37,2.54
Equatorial Guinea,Africa,Offshore oil,Upstream,Oil,Replace with electric motor,0.9,2.54
Trinidad and Tobago,Central and South America,Downstream gas,Downstream,Gas,Replace compressor seal or rod,3.5,2.54
Other,Other,Downstream gas,Downstream,Gas,Replace compressor seal or rod,1.06,2.54
Other,Other,Downstream gas,Downstream,Gas,Replace compressor seal or rod,1.01,2.54
Togo,Africa,Downstream gas,Downstream,Gas,Replace compressor seal or rod,0.05,2.55
Equatorial Guinea,Africa,Downstream gas,Downstream,Gas,Replace compressor seal or rod,0.82,2.55
Ghana,Africa,Downstream gas,Downstream,Gas,Replace compressor seal or rod,0.86,2.55
Libya,Africa,Downstream gas,Downstream,Gas,Replace compressor seal or rod,2.13,2.55
Cameroon,Africa,Downstream gas,Downstream,Gas,Replace compressor seal or rod,0.26,2.55
Cote d'Ivoire,Africa,Downstream gas,Downstream,Gas,Replace compressor seal or rod,0.56,2.55
Congo,Africa,Downstream gas,Downstream,Gas,Replace compressor seal or rod,0.42,2.55
Algeria,Africa,Downstream gas,Downstream,Gas,Replace compressor seal or rod,19.36,2.55
Australia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,1.54,2.56
Congo,Africa,Onshore conventional oil,Upstream,Oil,Vapour recovery units,6.32,2.56
Canada,North America,Downstream gas,Downstream,Gas,Replace with electric motor,18.95,2.57
United States,North America,Offshore gas,Upstream,Gas,Replace with electric motor,0.96,2.58
South Africa,Africa,Onshore conventional oil,Upstream,Oil,Improve flaring,0.02,2.59
Azerbaijan,Russia & Caspian,Offshore oil,Upstream,Oil,Improve flaring,3.84,2.59
Azerbaijan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Improve flaring,0.61,2.59
Niger,Africa,Onshore conventional oil,Upstream,Oil,Improve flaring,2,2.61
United States,North America,Offshore oil,Upstream,Oil,Replace with electric motor,5.41,2.62
Poland,Europe,Offshore oil,Upstream,Oil,Improve flaring,0.01,2.65
Poland,Europe,Onshore conventional oil,Upstream,Oil,Improve flaring,0.01,2.65
Venezuela,Central and South America,Downstream gas,Downstream,Gas,Replace compressor seal or rod,14.9,2.65
Uruguay,Central and South America,Downstream gas,Downstream,Gas,Replace compressor seal or rod,0.04,2.65
Mexico,North America,Downstream oil,Downstream,Oil,Vapour recovery units,4.26,2.67
Russia,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Vapour recovery units,797.63,2.69
Saudi Arabia,Middle East,Onshore conventional oil,Upstream,Oil,Improve flaring,5.95,2.7
Saudi Arabia,Middle East,Offshore oil,Upstream,Oil,Improve flaring,4.41,2.7
Oman,Middle East,Onshore conventional oil,Upstream,Oil,Improve flaring,21.5,2.71
Oman,Middle East,Offshore oil,Upstream,Oil,Improve flaring,0.07,2.71
Bahrain,Middle East,Downstream gas,Downstream,Gas,Replace compressor seal or rod,2.49,2.71
Canada,North America,Downstream gas,Downstream,Gas,Continuous LDAR,69.74,2.72
Canada,North America,Downstream oil,Downstream,Oil,Continuous LDAR,1.86,2.72
Colombia,Central and South America,Downstream gas,Downstream,Gas,Replace compressor seal or rod,2.68,2.72
Turkmenistan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Vapour recovery units,47.86,2.75
Turkmenistan,Russia & Caspian,Offshore oil,Upstream,Oil,Vapour recovery units,20.25,2.75
Qatar,Middle East,Offshore oil,Upstream,Oil,Improve flaring,6.32,2.76
Qatar,Middle East,Onshore conventional oil,Upstream,Oil,Improve flaring,7.98,2.76
Argentina,Central and South America,Downstream gas,Downstream,Gas,Replace compressor seal or rod,17.57,2.76
Tunisia,Africa,Onshore conventional oil,Upstream,Oil,Replace pumps,2.89,2.77
United States,North America,Downstream gas,Downstream,Gas,Replace with electric motor,151.05,2.78
Philippines,Asia Pacific,Onshore conventional oil,Upstream,Oil,Improve flaring,0.73,2.79
Philippines,Asia Pacific,Offshore oil,Upstream,Oil,Improve flaring,0.16,2.79
Angola,Africa,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,0.35,2.79
Algeria,Africa,Onshore conventional oil,Upstream,Oil,Replace pumps,243.11,2.84
Mexico,North America,Unconventional gas,Upstream,Gas,Replace pumps,0.05,2.84
Mexico,North America,Onshore conventional gas,Upstream,Gas,Replace pumps,2,2.84
Russia,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,147.49,2.87
Kuwait,Middle East,Downstream gas,Downstream,Gas,Vapour recovery units,0.13,2.87
Congo,Africa,Onshore conventional oil,Upstream,Oil,Vapour recovery units,6.79,2.89
Congo,Africa,Offshore oil,Upstream,Oil,Vapour recovery units,16.17,2.89
Canada,North America,Onshore conventional gas,Upstream,Gas,Replace with instrument air systems,2.08,2.89
Canada,North America,Downstream oil,Downstream,Oil,Vapour recovery units,2.93,2.91
Australia,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,1,2.91
Australia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,4.07,2.91
Libya,Africa,Onshore conventional oil,Upstream,Oil,Replace pumps,131.67,2.91
Malaysia,Asia Pacific,Downstream oil,Downstream,Oil,Other,1.09,2.91
United States,North America,Offshore gas,Upstream,Gas,Biannual LDAR,1.31,2.91
United States,North America,Offshore oil,Upstream,Oil,Biannual LDAR,4.25,2.91
Canada,North America,Unconventional gas,Upstream,Gas,Replace with instrument air systems,5.65,2.92
Morocco,Africa,Downstream gas,Downstream,Gas,Replace compressor seal or rod,0.21,2.93
Other,Other,Onshore conventional oil,Upstream,Oil,Vapour recovery units,3.75,2.93
Malaysia,Asia Pacific,Offshore oil,Upstream,Oil,Improve flaring,16.24,2.95
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Improve flaring,3.43,2.95
Russia,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Vapour recovery units,975.39,2.95
Russia,Russia & Caspian,Offshore oil,Upstream,Oil,Vapour recovery units,18.76,2.95
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Improve flaring,0.19,2.96
Other countries in Southeast Asia,Asia Pacific,Offshore oil,Upstream,Oil,Improve flaring,0.04,2.96
Cote d'Ivoire,Africa,Offshore oil,Upstream,Oil,Improve flaring,0.65,2.96
Yemen,Middle East,Onshore conventional oil,Upstream,Oil,Improve flaring,11.91,2.98
Philippines,Asia Pacific,Downstream oil,Downstream,Oil,Other,0.65,2.99
Venezuela,Central and South America,Onshore conventional oil,Upstream,Oil,Improve flaring,116.88,3
Venezuela,Central and South America,Unconventional oil,Upstream,Oil,Improve flaring,57.56,3
Venezuela,Central and South America,Offshore oil,Upstream,Oil,Improve flaring,39.26,3
Russia,Russia & Caspian,Unconventional gas,Upstream,Gas,Install plunger,2.36,3.01
Russia,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Install plunger,29.76,3.01
Trinidad and Tobago,Central and South America,Offshore oil,Upstream,Oil,Improve flaring,1.1,3.02
Trinidad and Tobago,Central and South America,Onshore conventional oil,Upstream,Oil,Improve flaring,0.82,3.02
Thailand,Asia Pacific,Downstream oil,Downstream,Oil,Other,3.06,3.02
Egypt,Africa,Onshore conventional oil,Upstream,Oil,Replace pumps,35.44,3.02
Iran,Middle East,Offshore oil,Upstream,Oil,Improve flaring,46.11,3.03
Iran,Middle East,Onshore conventional oil,Upstream,Oil,Improve flaring,343.73,3.03
Iraq,Middle East,Onshore conventional oil,Upstream,Oil,Improve flaring,219.52,3.03
Tunisia,Africa,Onshore conventional oil,Upstream,Oil,Improve flaring,1.74,3.03
Tunisia,Africa,Offshore oil,Upstream,Oil,Improve flaring,0.66,3.03
Other countries in Southeast Asia,Asia Pacific,Downstream oil,Downstream,Oil,Other,2.76,3.04
Brunei,Asia Pacific,Downstream oil,Downstream,Oil,Other,0.02,3.04
Viet Nam,Asia Pacific,Downstream oil,Downstream,Oil,Other,0.6,3.04
Other countries in Europe,Europe,Onshore conventional oil,Upstream,Oil,Improve flaring,0.01,3.05
United Arab Emirates,Middle East,Onshore conventional oil,Upstream,Oil,Improve flaring,6.42,3.07
United Arab Emirates,Middle East,Offshore oil,Upstream,Oil,Improve flaring,7.75,3.07
Bolivia,Central and South America,Downstream gas,Downstream,Gas,Replace compressor seal or rod,1.97,3.07
Egypt,Africa,Offshore oil,Upstream,Oil,Improve flaring,5.54,3.07
Egypt,Africa,Onshore conventional oil,Upstream,Oil,Improve flaring,15.94,3.07
Argentina,Central and South America,Offshore oil,Upstream,Oil,Improve flaring,0.04,3.09
Argentina,Central and South America,Onshore conventional oil,Upstream,Oil,Improve flaring,5.12,3.09
Argentina,Central and South America,Unconventional oil,Upstream,Oil,Improve flaring,16.18,3.09
Peru,Central and South America,Onshore conventional oil,Upstream,Oil,Improve flaring,0.9,3.1
Peru,Central and South America,Offshore oil,Upstream,Oil,Improve flaring,0.06,3.1
Norway,Europe,Offshore oil,Upstream,Oil,Quarterly LDAR,0.53,3.1
Norway,Europe,Offshore gas,Upstream,Gas,Quarterly LDAR,0.85,3.1
Mexico,North America,Offshore oil,Upstream,Oil,Improve flaring,40.22,3.11
Mexico,North America,Onshore conventional oil,Upstream,Oil,Improve flaring,17.66,3.11
Syria,Middle East,Onshore conventional oil,Upstream,Oil,Improve flaring,27.16,3.11
Poland,Europe,Downstream gas,Downstream,Gas,Other,3.04,3.12
Bolivia,Central and South America,Onshore conventional oil,Upstream,Oil,Improve flaring,0.51,3.12
Mexico,North America,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,7.95,3.13
United States,North America,Downstream oil,Downstream,Oil,Vapour recovery units,27.11,3.15
Brazil,Central and South America,Downstream oil,Downstream,Oil,Other,6.01,3.16
Bahrain,Middle East,Onshore conventional oil,Upstream,Oil,Improve flaring,1.81,3.18
Algeria,Africa,Onshore conventional oil,Upstream,Oil,Improve flaring,131.65,3.19
Brunei,Asia Pacific,Offshore oil,Upstream,Oil,Improve flaring,1.01,3.21
